"-112,117","0,0","-10,10","-21,21","-34,34","-49,50","-63,66","-76,79","-89,90","-101,101","-111,109"
"-38,163","0,0","-5,10","-10,25","-15,41","-22,60","-28,86","-33,106","-36,124","-37,139","-35,153"
"49,-149","0,0","4,-12","9,-26","15,-43","21,-62","26,-82","30,-98","34,-113","37,-129","44,-139"
"201,19","0,0","15,1","34,2","59,1","88,1","117,3","141,6","159,10","173,16","186,19"
"37,108","0,0","8,6","16,14","23,24","31,36","35,50","36,63","35,76","30,89","31,101"
"141,-126","0,0","9,-18","26,-37","48,-56","67,-74","79,-85","88,-97","97,-109","111,-116","123,-123"
"-86,31","0,0","-7,2","-15,4","-24,7","-35,9","-46,12","-57,15","-67,18","-76,21","-83,24"
"-100,108","0,0","-7,9","-17,19","-31,30","-47,43","-63,54","-78,65","-89,76","-96,86","-99,97"
"-54,160","0,0","-1,14","-4,27","-10,44","-17,70","-25,90","-32,107","-40,123","-46,137","-51,150"
"-91,-147","0,0","-7,-11","-19,-24","-33,-42","-47,-62","-61,-80","-72,-95","-80,-109","-84,-124","-89,-135"
"-101,-176","0,0","-6,-19","-17,-38","-29,-61","-42,-82","-50,-105","-56,-124","-64,-146","-73,-161","-83,-175"
"97,-197","0,0","6,-17","16,-37","29,-66","46,-95","59,-119","69,-136","77,-151","85,-167","91,-183"
"-116,-55","0,0","-9,-3","-18,-8","-31,-15","-45,-22","-60,-30","-76,-36","-89,-40","-102,-45","-110,-49"
"160,-28","0,0","12,-3","25,-5","39,-9","60,-12","89,-16","113,-20","130,-24","146,-27","160,-28"
"-97,148","0,0","-7,14","-17,27","-30,43","-45,65","-62,90","-76,108","-85,124","-92,135","-97,148"
"181,-35","0,0","10,-3","22,-6","40,-11","62,-17","86,-22","111,-27","134,-30","154,-33","169,-34"
"-185,-41","0,0","-13,-2","-35,-7","-63,-15","-91,-22","-118,-27","-144,-31","-161,-34","-175,-35","-185,-41"
"11,125","0,0","-1,12","-2,24","-6,37","-9,56","-9,73","-9,88","-7,102","1,110","6,117"
"-69,-36","0,0","-5,-3","-10,-6","-17,-9","-25,-12","-33,-16","-43,-21","-51,-25","-58,-28","-64,-31"
"33,67","0,0","3,2","7,6","12,12","17,17","21,24","24,33","27,43","30,49","32,60"
"-56,-112","0,0","-2,-11","-8,-20","-16,-33","-25,-45","-35,-58","-41,-71","-44,-81","-44,-94","-48,-105"
"-98,-26","0,0","-7,-3","-15,-6","-29,-10","-44,-15","-59,-20","-72,-24","-84,-26","-93,-27","-102,-28"
"76,137","0,0","7,10","16,22","24,35","35,54","48,77","61,95","70,110","75,124","76,137"
"-75,78","0,0","-4,6","-13,14","-22,26","-32,40","-41,52","-49,63","-55,72","-58,80","-67,80"
"-119,-82","0,0","-10,-7","-23,-14","-39,-22","-58,-33","-74,-43","-87,-53","-98,-62","-106,-68","-110,-76"
"73,-73","0,0","4,-6","10,-12","16,-20","24,-28","33,-37","42,-46","53,-55","63,-63","68,-69"
"118,38","0,0","9,2","20,5","36,10","52,14","66,19","79,23","92,27","102,30","111,35"
"-7,48","0,0","0,3","-1,8","-2,13","-3,18","-3,23","-3,29","-4,34","-5,39","-6,44"
"-54,-31","0,0","-4,-3","-7,-6","-12,-8","-17,-10","-22,-14","-28,-18","-34,-22","-39,-24","-44,-27"
"79,-66","0,0","5,-7","14,-13","23,-16","34,-21","43,-28","52,-35","60,-43","70,-51","75,-58"
"150,41","0,0","14,1","29,4","48,8","69,12","86,16","102,21","116,26","128,33","138,37"
"175,32","0,0","12,-4","27,-4","48,-2","76,3","103,8","126,13","142,17","154,22","163,28"
"129,-6","0,0","8,-2","18,-4","31,-5","47,-6","65,-7","82,-7","98,-7","110,-7","120,-7"
"-210,7","0,0","-14,1","-42,1","-78,1","-124,2","-167,3","-202,6","-225,10","-236,13","-223,9"
"26,-97","0,0","3,-8","8,-17","12,-28","15,-38","18,-48","23,-58","26,-70","29,-80","31,-90"
"120,-45","0,0","6,-3","13,-6","24,-11","39,-16","56,-21","73,-27","89,-32","102,-36","112,-40"
"-183,-150","0,0","-21,-6","-57,-22","-97,-49","-133,-75","-165,-96","-187,-109","-200,-120","-204,-132","-195,-143"
"127,-16","0,0","10,-2","22,-5","37,-8","53,-11","69,-14","83,-17","95,-18","106,-18","117,-17"
"-10,-166","0,0","-7,-17","-17,-36","-22,-58","-22,-81","-19,-100","-12,-116","-7,-135","-3,-152","-10,-166"
"-88,114","0,0","-7,9","-15,20","-27,30","-43,44","-60,61","-73,77","-82,90","-87,102","-88,114"
"5,45","0,0","1,4","1,9","1,14","1,19","1,24","0,29","0,34","0,39","3,42"
"139,-2","0,0","11,-2","27,-6","47,-11","67,-16","89,-20","109,-22","124,-22","133,-18","140,-13"
"69,-90","0,0","7,-4","16,-13","26,-24","35,-35","42,-47","48,-57","52,-69","59,-77","63,-84"
"-2,174","0,0","0,15","0,30","-2,49","-6,75","-10,97","-13,115","-13,131","-11,146","-7,160"
"-157,-38","0,0","-10,-3","-25,-8","-47,-16","-71,-23","-92,-28","-111,-32","-124,-34","-135,-37","-146,-38"
"73,-23","0,0","4,-2","10,-4","17,-6","24,-9","32,-13","41,-15","49,-18","58,-20","65,-22"
